element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
321, 3, 5, 2, False, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 10, 10.8, 15.1, 17.0, 4.3, 60, 0, 56852, 0, 0, 
321, 19, 10, 2, True, 2019-08-17T14:00:00Z, 1, 2, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 15, 11.2, 29.5, 2.0, 4.3, 60, -6524, 54070, 1391, 7915, 
321, 23, 4, 2, False, 2019-08-24T14:00:00Z, 0, 2, 3, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 9, 12.2, 31.9, 4.0, 4.8, 59, -5940, 49522, 2064, 8004, 
321, 39, 12, 2, True, 2019-08-31T11:30:00Z, 1, 1, 4, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 7.6, 18.6, 2.0, 2.8, 59, -5440, 44934, 1955, 7395, 
321, 47, 15, 3, False, 2019-09-14T14:00:00Z, 0, 1, 5, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11.4, 30.5, 0.0, 4.2, 59, -3401, 42441, 2185, 5586, 
321, 59, 3, 9, True, 2019-09-20T19:00:00Z, 1, 3, 6, 90, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 31, 38.0, 38.3, 34.0, 11.0, 58, -429, 42767, 2994, 3423, 
321, 69, 17, 2, False, 2019-09-28T14:00:00Z, 2, 1, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 17.4, 19.8, 11.0, 4.8, 58, 5909, 50017, 10024, 4115, 
321, 78, 6, 2, True, 2019-10-06T13:00:00Z, 1, 4, 8, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 8, 13.6, 25.9, 1.0, 4.1, 58, 270, 50652, 4249, 3979, 
321, 90, 20, 2, False, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 19.2, 45.3, 26.0, 9.1, 58, -1512, 49672, 2710, 4222, 
321, 98, 9, 2, True, 2019-10-25T19:00:00Z, 0, 9, 10, 90, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 12, 18.4, 6.1, 15.0, 4.0, 58, -447, 49686, 2583, 3030, 
321, 107, 11, 9, False, 2019-11-02T15:00:00Z, 2, 1, 11, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 29, 62.8, 1.3, 33.0, 9.7, 58, -6190, 43418, 574, 6764, 
321, 118, 8, 2, True, 2019-11-09T15:00:00Z, 1, 2, 12, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 17, 17.2, 27.8, 7.0, 5.2, 58, 7390, 52471, 9174, 1784, 
321, 121, 1, 5, False, 2019-11-23T15:00:00Z, 2, 2, 13, 90, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 22, 51.6, 41.3, 90.0, 18.3, 58, -8, 52101, 4736, 4744, 
321, 138, 18, 9, True, 2019-11-30T17:30:00Z, 2, 1, 14, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 32, 40.2, 4.6, 21.0, 6.6, 58, 19987, 74379, 23454, 3467, 
321, 150, 14, 5, True, 2019-12-04T19:30:00Z, 2, 1, 15, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 25, 30.2, 34.8, 4.0, 6.9, 58, 36675, 113067, 39833, 3158, 
