element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
335, 6, 2, 0, True, 2019-08-10T16:30:00Z, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 1755, 0, 0, 
335, 16, 11, 0, False, 2019-08-17T16:30:00Z, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -260, 1671, 54, 314, 
335, 28, 13, 0, True, 2019-08-25T15:30:00Z, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -218, 1503, 40, 258, 
335, 31, 1, 0, False, 2019-09-01T15:30:00Z, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -142, 1385, 39, 181, 
335, 48, 7, 0, True, 2019-09-14T14:00:00Z, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -75, 1344, 92, 167, 
335, 56, 9, 0, False, 2019-09-21T11:30:00Z, 2, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -38, 1325, 34, 72, 
335, 69, 16, 0, True, 2019-09-28T14:00:00Z, 2, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, 20, 1448, 95, 75, 
335, 72, 4, 0, False, 2019-10-05T11:30:00Z, 3, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, 114, 1737, 213, 99, 
335, 89, 18, 0, True, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, 181, 2146, 300, 119, 
335, 94, 10, 0, False, 2019-10-27T16:30:00Z, 2, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -70, 2173, 78, 148, 
335, 106, 8, 1, False, 2019-11-03T16:30:00Z, 1, 1, 11, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5.8, 0.1, 0.0, 0.6, 49, -14, 2351, 164, 178, 
